aalib 1.4rc5-11
jshon 20131105-1
json-c 0.12-2
json-glib 1.0.4-1
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 21-2
krb5 1.13.2-1
lame 3.99.5-3
lcms2 2.7-1
ldb 1.1.21-1
ldns 1.6.17-3
leiningen 1:2.5.2-1
less 481-2
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.13.0-1
libassuan 2.3.0-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.9.1-1
libbsd 0.7.0-1
libcaca 0.99.beta18-3
libcanberra 0.30-5
libcanberra-pulse 0.30-5
libcap 2.24-2
libcap-ng 0.7.7-1
libcddb 1.3.2-4
libcdio 0.93-2
libcdio-paranoia 10.2+0.93+1-1
libchamplain 0.12.11-1
libcroco 0.6.9-1
libcue 1.4.0-4
libcups 2.1.0-1
libcurl-compat 7.23.1-2
libdaemon 0.14-3
libdatrie 0.2.9-1
libdbus 1.10.2-1
libdca 0.0.5-4
libdmapsharing 2.9.32-1
libdrm 2.4.65-1
libdv 1.0.0-6
libdvdnav 5.0.3-1
libdvdread 5.0.4-1
libedit 20150325_3.1-2
libelf 0.164-1
libepoxy 1.3.1-1
libev 4.20-1
libevdev 1.4.5-1
libevent 2.0.22-1
libexif 0.6.21-2
libffi 3.2.1-1
libfontenc 1.1.3-1
libgcrypt 1.6.4-1
libgdata 0.17.3-1
libgdm 3.18.2-1
libgee 0.18.0-1
libglade 2.6.4-5
libgme 0.6.0-3
libgnome-keyring 3.12.0-2
libgnomekbd 3.6.0-2
libgpg-error 1.20-1
libgphoto2 2.5.8-1
libgsf 1.14.34-1
libgssglue 0.4-2
libgtop 2.32.0-1
libgudev 230-1
libgusb 0.2.7-1
libgweather 3.18.1-1
libgxps 0.2.3.2-1
libibus 1.5.11-2
libical 1.0.1-2
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.32-1
libiec61883 1.2.0-4
libimobiledevice 1.2.0-1
libinput 1.1.1-1
libiptcdata 1.0.4-3
libjpeg-turbo 1.4.2-1
libksba 1.3.3-1
libldap 2.4.42-2
liblqr 0.4.2-1
libmediaart 1.9.0-1
libmm-glib 1.4.12-1
libmms 0.6.4-1
libmodplug 0.8.8.5-1
libmp4v2 2.0.0-3
libmpc 1.0.3-1
libmtp 1.1.10-1
libmusicbrainz5 5.1.0-1
libnautilus-extension 3.18.2-1
libndp 1.5-1
libnewt 0.52.18-3
libnfs 1.9.8-1
libnice 0.1.13-1
libnl 3.2.26-1
libnm-glib 1.0.8-1
libnotify 0.7.6-1
liboauth 1.0.3-1
libofa 0.9.3-5
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libosinfo 0.2.12-1
libotf 0.9.13-2
libpaper 1.1.24-9
libpcap 1.7.4-1
libpciaccess 0.13.4-1
libpeas 1.16.0-1
libpgm 5.2.122-2
libpipeline 1.4.1-1
libplist 1.12-3
libpng 1.6.19-1
libproxy 0.4.11-6
libpulse 7.1-1
libpwquality 1.2.3-1
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.1-1
librpcsecgss 0.19-8
librsvg 1:2.40.11-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.3-1
libsecret 0.18.3-1
libshout 1:2.3.1-2
libsigc++ 2.6.1-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsodium 1.0.6-1
libsoup 2.52.2-1
libsoxr 0.1.2-1
libspectre 0.2.7-2
libsrtp 15.1c9bd90-3
libssh 0.7.2-1
libssh2 1.6.0-1
libsystemd 227-1
libtasn1 4.7-1
libteam 1.18-2
libthai 0.1.22-1
libtheora 1.1.1-3
libtiff 4.0.6-1
libtirpc 1.0.1-2
libtool 2.4.6-3
libtracker-sparql 1.6.0-2
libtxc_dxtn 1.0.1-6
libunistring 0.9.6-1
libunwind 1.1-3
libusb 1.0.20-1
libusbmuxd 1.0.10-1
libutempter 1.1.6-2
libutil-linux 2.27-6
libva 1.6.1-1
libvdpau 1.1.1-1
libvisual 0.4.0-6
libvorbis 1.3.5-1
libvpx 1.5.0-2
libwacom 0.15-1
libwbclient 4.3.1-1
libwebp 0.4.4-1
libwnck3 3.14.0-1
libx11 1.6.3-1
libx264 2:148.20150725-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.11.1-1
libxcomposite 0.4.4-2
